Year,Month,Day,T_max,T_min,Precip (mm),T_ave,Precip (cm),rh_ave
1980,5,17,18.5,2,0,10.25,0,33263.31956362078
1980,5,18,19.5,1,0,10.25,0,29349.98785025363
1980,5,19,23,-0.5,0,11.25,0,21967.079291358226
1980,5,20,25.5,2.5,0,14,0,21397.38638011782
1980,5,21,25,3,0,14,0,18340.616897243846
1980,5,22,20.5,2,0,11.25,0,21967.079291358226
1980,5,23,19,1.5,0,10.25,0,21523.324423519327
1980,5,24,13,0,0,6.5,0,30288.81304678301
1980,5,25,13,-8,0,2.5,0,20045.693387629875
1980,5,26,17.5,-4,0,6.75,0,17366.849099827432
1980,5,27,17.5,-0.5,0,8.5,0,22014.194049506015
1980,5,28,17.5,-0.5,0,8.5,0,22014.194049506015
1980,5,29,20,-3.5,0,8.25,0,15673.741948991772
1980,5,30,21,-2.5,0,9.25,0,14647.885778104965
1980,5,31,20.5,0,0,10.25,0,17609.99271015218
1980,6,1,18,-1.5,0,8.25,0,20151.953934417994
1980,6,2,21,-2,0,9.5,0,14403.324044269726
1980,6,3,22.5,2,0,12.25,0,15421.968364868517
1980,6,4,24,2.5,0,13.25,0,14443.587644427887
1980,6,5,24,3,0,13.5,0,15788.899390782793
1980,6,6,23,7.5,0,15.25,0,21148.064810855903
1980,6,7,26.5,0.5,0,13.5,0,9473.339634469676
1980,6,8,28,1.5,0,14.75,0,10191.943786135185
1980,6,9,28.5,4.5,0,16.5,0,11714.232736881548
1980,6,10,28.5,3,0,15.75,0,9557.692461536672
1980,6,11,28,5,0,16.5,0,10412.651321672487
1980,6,12,27,6,0,16.5,0,11714.232736881548
1980,6,13,27,4,0,15.5,0,11099.42024143174
1980,6,14,26.5,6,0,16.25,0,13224.692058761608
1980,6,15,28.5,0.5,0,14.5,0,8878.116763885642
1980,6,16,30,3,0,16.5,0,9111.069906463426
1980,6,17,31,6,0,18.5,0,9177.703612701413
1980,6,18,30,9.5,0,19.75,0,11673.549242374711
1980,6,19,29.5,6.5,0,18,0,10654.003657536958
1980,6,20,29,5,0,17,0,10087.270131451782
1980,6,21,29,5,0,17,0,10087.270131451782
1980,6,22,30,4,0,17,0,8826.361365020308
1980,6,23,29.5,7,0,18.25,0,10488.008508219069
